user,total_logons,off_hours_ratio,weekend_ratio,unique_pc_count,hour_variance,device_connects,device_disconnects,missing_disconnects,file_operations,suspicious_file_ops,removable_media_ops,off_hours_ratio_normalized,weekend_ratio_normalized,unique_pc_count_normalized,hour_variance_normalized,missing_disconnects_normalized,suspicious_file_ops_normalized,removable_media_ops_normalized,risk_score,risk_level
AMB3100,1523,0.3079448456992777,0.17859487852921865,118,4.077962736247403,173,173,0,621,365,0,0.3079448456992777,0.5815781941848915,0.09624796084828711,0.5224409519333195,0.0,0.04331316008069301,0,0.27281549153605006,low
SSS3091,1337,0.3231114435302917,0.08676140613313388,103,4.162759212667599,780,773,7,997,649,0,0.3231114435302917,0.2825307327925129,0.08401305057096248,0.5333045018789292,0.2413793103448276,0.07701435860923223,0,0.3008323215360175,medium
MJA2380,1370,0.3583941605839416,0.2613138686131387,1,3.4374522719475737,0,0,0,1197,0,0,0.3583941605839416,0.8509451618940671,0.0008156606851549756,0.4403830915910288,0.0,0.0,0,0.29340459983694395,low
CGW0692,1419,0.35165609584214236,0.2783650458069063,16,3.3508977425906084,0,0,0,282,0,0,0.35165609584214236,0.9064707901917205,0.013050570962479609,0.4292943118163992,0.0,0.0,0,0.3013993560999494,medium
SFC2336,602,0.5946843853820598,0.2724252491694352,1,5.864107929981602,0,0,0,28,0,0,0.5946843853820598,0.8871283755004685,0.0008156606851549756,0.7512697705517851,0.0,0.0,0,0.40235353300004945,medium
HMY0235,1650,0.4303030303030303,0.24666666666666667,46,4.681692814190879,926,918,8,1072,673,0,0.4303030303030303,0.8032478632478632,0.037520391517128875,0.5997867584135952,0.27586206896551724,0.0798623472172778,0,0.42888826847854733,medium
LJE2413,1211,0.3592072667217176,0.17258464079273328,1,3.8566125321885716,0,0,0,839,0,0,0.3592072667217176,0.5620063943763366,0.0008156606851549756,0.4940830637429174,0.0,0.0,0,0.2506812938119314,low
MBA1797,294,0.36054421768707484,0.2891156462585034,1,3.4613542547220857,0,0,0,3,0,0,0.36054421768707484,0.94147915576487,0.0008156606851549756,0.44344525165512516,0.0,0.0,0,0.3092112450486638,medium
DJA0740,1312,0.3513719512195122,0.15929878048780488,43,3.9290013683537364,856,846,10,2289,1540,0,0.3513719512195122,0.5187421826141339,0.03507340946166395,0.5033570308979668,0.3448275862068966,0.18274593568292394,0,0.40717540517367223,medium
JPC2507,520,0.32884615384615384,0.25,33,3.308109693403431,320,317,3,786,518,0,0.32884615384615384,0.8141025641025641,0.026916802610114192,0.4238125969027192,0.10344827586206896,0.061469087456983505,0,0.3312496706524585,medium
ATH0225,1265,0.33517786561264823,0.12964426877470356,58,3.7390456403332815,3555,3539,16,3046,254,0,0.33517786561264823,0.4221749265227526,0.04730831973898858,0.4790211902366282,0.5517241379310345,0.03014121276848226,0,0.37436059868418203,medium
JKG0944,1012,0.5,0.2826086956521739,1,4.464970474956302,0,0,0,24,0,0,0.5,0.9202898550724636,0.0008156606851549756,0.5720217609042949,0.0,0.0,0,0.3620301739706439,medium
ZRM0694,1849,0.3515413737155219,0.26554894537587886,135,3.890263633509609,217,214,3,590,344,0,0.3515413737155219,0.8647363093009388,0.11011419249592169,0.49839421481143975,0.10344827586206896,0.04082117004865314,0,0.35829676850354086,medium
AFP2709,1383,0.35647143890093996,0.2762111352133044,1,3.4112078085190034,4249,4231,18,1531,1054,0,0.35647143890093996,0.8994567736433247,0.0008156606851549756,0.43702082877907905,0.6206896551724138,0.12507416637000118,0,0.5044609865803689,medium
BZB3532,862,0.5,0.16473317865429235,1,4.463014198145978,0,0,0,14,0,0,0.5,0.5364388125409008,0.0008156606851549756,0.571771135975836,0.0,0.0,0,0.2990470767318843,low
WBB2321,1424,0.3300561797752809,0.21558988764044945,72,4.157992713880958,0,0,0,371,0,0,0.3300561797752809,0.7020491212906943,0.05872756933115824,0.532693850354003,0.0,0.0,0,0.2767549254467249,low
FGC0114,1260,0.3611111111111111,0.1365079365079365,43,3.4357664123963967,151,149,2,816,495,0,0.3611111111111111,0.4445258445258445,0.03507340946166395,0.44016711068936093,0.06896551724137931,0.058739765040939834,0,0.27428904188389,low
HLO2756,1108,0.4918772563176895,0.22111913357400723,43,4.00743699844123,0,0,0,33,0,0,0.4918772563176895,0.7200546144589466,0.03507340946166395,0.5134056723149574,0.0,0.0,0,0.32733304002335256,medium
IWG0058,1455,0.32027491408934705,0.18213058419243985,109,3.7177623356292746,464,459,5,1761,1161,0,0.32027491408934705,0.5930919023702529,0.08890701468189233,0.4762945174617611,0.1724137931034483,0.13777144891420434,0,0.3549160771446072,medium
JKS2444,508,0.36023622047244097,0.16535433070866143,1,3.859027013035124,1471,1466,5,329,207,0,0.36023622047244097,0.5384615384615384,0.0008156606851549756,0.49439239066753227,0.1724137931034483,0.024563901744393022,0,0.2996763294506298,low
NDW1863,1161,0.35314384151593453,0.14642549526270457,1,3.850526856198001,0,0,0,164,0,0,0.35314384151593453,0.47682148457342255,0.0008156606851549756,0.4933034081738728,0.0,0.0,0,0.23465544082056725,low
RCT1697,1528,0.6308900523560209,0.2395287958115183,82,4.523053050098911,4133,4118,15,691,452,0,0.6308900523560209,0.7800040273862263,0.06688417618270799,0.5794629068418291,0.5172413793103449,0.0536371187848582,0,0.54266472010907,medium
MKR2138,872,0.5,0.1628440366972477,1,4.502582496625774,159,157,2,3398,2278,0,0.5,0.5302869912961655,0.0008156606851549756,0.576840358247148,0.06896551724137931,0.27032158538032514,0,0.4262733911404019,medium
RCH2447,1519,0.41540487162606976,0.26201448321263987,1,4.4928799499068734,0,0,0,122,0,0,0.41540487162606976,0.8532266504616735,0.0008156606851549756,0.5755973337096888,0.0,0.0,0,0.3235711016533809,medium
DAR0709,1338,0.35949177877429,0.2436472346786248,1,3.447105456814558,0,0,0,29,0,0,0.35949177877429,0.7934153539534705,0.0008156606851549756,0.4416197922225153,0.0,0.0,0,0.2844295756243307,low
MMR1695,1386,0.689033189033189,0.27200577200577203,1,4.6722619941464645,0,0,0,261,0,0,0.689033189033189,0.8857623857623859,0.0008156606851549756,0.5985785456563473,0.0,0.0,0,0.420558410101057,medium
BMC3636,1802,0.6625971143174251,0.28523862375138737,97,5.128551295594687,187,185,2,501,151,0,0.6625971143174251,0.9288539799083639,0.07911908646003263,0.6570352389671261,0.06896551724137931,0.017918594992286697,0,0.46090878209091096,medium
GRY1398,910,0.4736263736263736,0.11648351648351649,40,4.882953318896285,3286,3271,15,784,476,0,0.4736263736263736,0.37931811777965624,0.03262642740619902,0.6255708904583206,0.5172413793103449,0.056485107392903765,0,0.42467944416013886,medium
JEW2141,1231,0.38586515028432167,0.14703493095044678,1,4.196383826273757,0,0,0,44,0,0,0.38586515028432167,0.47880605719760877,0.0008156606851549756,0.5376122595209121,0.0,0.0,0,0.2493493862875221,low
CDB2017,1334,0.42203898050974514,0.1634182908545727,10,4.8936622864014625,151,151,0,388,222,0,0.42203898050974514,0.532156998423865,0.008156606851549755,0.6269428508070255,0.0,0.026343894624421504,0,0.2893009391096335,low
LXE2139,989,0.3114256825075834,0.16177957532861476,60,3.6933539311923216,130,130,0,450,290,0,0.3114256825075834,0.5268206683777967,0.048939641109298535,0.47316747808597964,0.0,0.03441319568055061,0,0.24952493862181643,low
AXW3243,1201,0.7127393838467944,0.15736885928393005,1,4.698555945892961,451,445,6,373,174,0,0.7127393838467944,0.5124575674117722,0.0008156606851549756,0.601947148576238,0.20689655172413793,0.020647917408330368,0,0.42675155426789135,medium
ABM3641,1354,0.930576070901034,0.2813884785819793,68,6.021337865244568,0,0,0,42,0,0,0.930576070901034,0.9163163276900351,0.05546492659053834,0.7714130044075186,0.0,0.0,0,0.5279489402219707,medium
HID1899,1397,0.2612741589119542,0.16607015032211883,84,3.656336671283403,0,0,0,745,0,0,0.2612741589119542,0.5407925407925408,0.06851549755301795,0.4684250775895556,0.0,0.0,0,0.2240743444926987,low
SRB2276,1499,0.2935290193462308,0.1627751834556371,116,4.025879075574565,836,831,5,990,631,0,0.2935290193462308,0.5300627768939977,0.09461663947797716,0.5157683462667143,0.1724137931034483,0.07487836715319805,0,0.3141866187503088,medium
TWM2199,1004,0.4810756972111554,0.2450199203187251,19,3.9585336978322467,522,516,6,8101,5458,0,0.4810756972111554,0.7978853815507202,0.015497553017944535,0.5071405128283973,0.20689655172413793,0.6476800759463629,0,0.649331683128431,medium
HDP1890,1300,0.3130769230769231,0.12692307692307692,49,3.9060879338086267,0,0,0,223,0,0,0.3130769230769231,0.4133136094674556,0.0399673735725938,0.5004215169342408,0.0,0.0,0,0.21809988102433842,low
JWM0484,1107,0.34507678410117437,0.12917795844625113,22,3.4261772662783603,0,0,0,165,0,0,0.34507678410117437,0.42065642878651005,0.01794453507340946,0.43893861426843855,0.0,0.0,0,0.22114724528976976,low
KCW2117,1417,0.30910374029640086,0.15666901905434016,103,3.7179244068844097,829,823,6,2095,620,0,0.30910374029640086,0.5101786005102872,0.08401305057096248,0.47631528093271225,0.20689655172413793,0.07357303904117717,0,0.3190083966629008,medium
AMA2808,1432,0.4483240223463687,0.20460893854748605,1,5.085836214901331,0,0,0,18,0,0,0.4483240223463687,0.6662906460392494,0.0008156606851549756,0.651562872282412,0.0,0.0,0,0.30993787689142416,medium
GDM3960,1656,0.6364734299516909,0.28743961352657005,88,4.946592435904102,187,186,1,4187,2805,0,0.6364734299516909,0.936021305586523,0.07177814029363784,0.633723902886373,0.034482758620689655,0.33285866856532575,0,0.5710620764316467,medium
AKK2125,872,0.5011467889908257,0.13073394495412843,23,4.50669785735366,0,0,0,23,0,0,0.5011467889908257,0.4257233592095977,0.018760195758564437,0.577367590376347,0.0,0.0,0,0.28466519609568314,low
KJS1940,1536,0.275390625,0.2513020833333333,87,3.2956875962101213,0,0,0,37,0,0,0.275390625,0.8183426816239315,0.07096247960848287,0.4222211619871925,0.0,0.0,0,0.27084350212881697,low
XCL1792,976,0.8729508196721312,0.13729508196721313,59,5.239574808915905,3648,3636,12,10486,7082,0,0.8729508196721312,0.44708911307271965,0.04812398042414356,0.6712588191560648,0.41379310344827586,0.8403939717574463,0,0.8690921134897224,high
EAL3873,1237,0.3856103476151981,0.21261115602263542,71,3.9689958664353324,0,0,0,51,0,0,0.3856103476151981,0.6923491490993512,0.05791190864600326,0.5084808549741701,0.0,0.0,0,0.2912691922458054,low
WVC3623,938,0.4189765458422175,0.09381663113006397,69,3.8446953065389824,0,0,0,1,0,0,0.4189765458422175,0.3055054398337981,0.05628058727569331,0.49255630954836954,0.0,0.0,0,0.23718816371144633,low
KPS3882,1347,0.3711952487008166,0.25315515961395696,1,4.293840102426906,0,0,0,121,0,0,0.3711952487008166,0.8243770582300649,0.0008156606851549756,0.5500976972206643,0.0,0.0,0,0.30224432575239457,medium
SLC1588,824,0.5,0.13349514563106796,1,4.024181059060045,155,152,3,366,219,0,0.5,0.4347149614139905,0.0008156606851549756,0.5155508078972831,0.10344827586206896,0.025987896048415806,0,0.3138601927225193,medium
BOV1609,832,0.5,0.13701923076923078,1,4.02260902327841,0,0,0,1099,0,0,0.5,0.4461908284023669,0.0008156606851549756,0.5153494093256556,0.0,0.0,0,0.2796164398931274,low
CJM0273,1096,0.4835766423357664,0.2864963503649635,39,4.911677925311858,4355,4341,14,12420,8427,0,0.4835766423357664,0.9329496537525734,0.03181076672104405,0.629250892383368,0.4827586206896552,1.0,0,0.8973474073543465,high
GNE1365,1397,0.686471009305655,0.1739441660701503,47,4.923716778643369,0,0,0,17,0,0,0.686471009305655,0.5664335664335663,0.03833605220228385,0.6307932286923279,0.0,0.0,0,0.3761352961191765,medium
NSM2805,834,0.42805755395683454,0.13189448441247004,1,4.94006267588312,0,0,0,45,0,0,0.42805755395683454,0.4295025518047101,0.0008156606851549756,0.6328873542806354,0.0,0.0,0,0.2629176418927717,low
GNB3337,164,0.3597560975609756,0.24390243902439024,1,4.252733231364739,0,0,0,0,0,0,0.3597560975609756,0.7942464040025016,0.0008156606851549756,0.5448313634560548,0.0,0.0,0,0.2931174271233019,low
HTC1750,844,0.24052132701421802,0.15639810426540285,1,4.527989633557437,0,0,0,267,0,0,0.24052132701421802,0.5092963908129785,0.0008156606851549756,0.5800953484623586,0.0,0.0,0,0.2101538102982846,low
ISB0256,1381,0.16437364228819695,0.24547429398986242,27,3.439563859640266,0,0,0,195,0,0,0.16437364228819695,0.7993650086336546,0.02202283849918434,0.44065361389729096,0.0,0.0,0,0.2247949292228008,low
IRS1337,1342,0.16393442622950818,0.20640834575260805,27,3.4261927578578537,465,460,5,1246,840,0,0.16393442622950818,0.6721502541174672,0.02202283849918434,0.4389405989446264,0.1724137931034483,0.09967960128159488,0,0.28694043808449887,low
NSR2539,1076,0.7732342007434945,0.2258364312267658,3,6.077487238012891,515,509,6,1401,900,0,0.7732342007434945,0.7354160709179296,0.0024469820554649264,0.7786064815569776,0.20689655172413793,0.10679957280170879,0,0.5332533878130941,medium
ADP3667,1070,0.7,0.28598130841121494,30,5.405573111351037,567,562,5,1165,768,0,0.7,0.931272465851905,0.024469820554649267,0.6925253967960876,0.1724137931034483,0.09113563545745818,0,0.5229993555699587,medium
BCC2536,379,0.48548812664907653,0.18469656992084432,32,4.573880587945502,887,883,4,985,138,0,0.48548812664907653,0.6014478046140315,0.026101141924959218,0.5859745865639042,0.13793103448275862,0.016375934496262016,0,0.3509143645223017,medium
TGH3351,1746,0.3172966781214204,0.28465063001145474,127,4.11534754646248,0,0,0,612,0,0,0.3172966781214204,0.9269392310629423,0.10358890701468189,0.5272304404843072,0.0,0.0,0,0.316367949382181,medium
CCT2165,1529,0.15238718116415959,0.27730542838456507,72,3.3664452791946586,499,489,10,1865,1075,0,0.15238718116415959,0.9030202411497374,0.05872756933115824,0.43128615685005756,0.3448275862068966,0.12756615640204105,0,0.38027107506560404,medium
CTP2225,1439,0.12856150104239056,0.15149409312022238,132,3.2423440994777963,0,0,0,117,0,0,0.12856150104239056,0.49332691862226263,0.10766721044045677,0.4153871546617766,0.0,0.0,0,0.17482341976745222,low
IBP1616,1843,0.21215409658166035,0.26478567552902876,121,4.041017019541442,189,186,3,217,94,0,0.21215409658166035,0.8622507895432475,0.09869494290375204,0.5177077170672544,0.10344827586206896,0.011154622048178475,0,0.2997075725678736,low
SAB3860,1294,0.31530139103554866,0.11205564142194745,76,4.125541290869544,0,0,0,96,0,0,0.31530139103554866,0.36489914001505963,0.06199021207177814,0.5285363939410306,0.0,0.0,0,0.216806473572339,low
SER0621,1134,0.3165784832451499,0.2830687830687831,1,4.7315227302480825,0,0,0,370,0,0,0.3165784832451499,0.9217880884547551,0.0008156606851549756,0.6061706295922805,0.0,0.0,0,0.30490387953057185,medium
AKB2312,1042,0.21976967370441458,0.2744721689059501,19,3.4991839617713336,4330,4301,29,11306,7691,0,0.21976967370441458,0.8937939859245042,0.015497553017944535,0.44829173737371575,1.0,0.9126616826866026,0,0.8783125266803506,high
BNF1110,1268,0.5118296529968455,0.17113564668769715,22,5.106463669505083,151,150,1,3552,1847,0,0.5118296529968455,0.5572878751112189,0.01794453507340946,0.6542055219867255,0.034482758620689655,0.21917645662750682,0,0.41428038986464466,medium
GES2626,1400,0.16214285714285714,0.2857142857142857,1,3.8493800068648842,0,0,0,49,0,0,0.16214285714285714,0.9304029304029303,0.0008156606851549756,0.4931564816088035,0.0,0.0,0,0.246384470907387,low
KSO2224,1282,0.17238689547581904,0.20904836193447737,1,3.496983614728228,0,0,0,2,0,0,0.17238689547581904,0.6807472298891956,0.0008156606851549756,0.44800984382094594,0.0,0.0,0,0.205091760902226,low
ATM1615,1280,0.1703125,0.153125,42,3.555808548438864,170,168,2,1236,473,0,0.1703125,0.4986378205128205,0.03425774877650897,0.45554609570771026,0.06896551724137931,0.05612910881689807,0,0.22062905043211473,low
BDR0510,1560,0.34935897435897434,0.21987179487179487,94,4.485593266028585,502,497,5,7605,5169,0,0.34935897435897434,0.7159927679158448,0.0766721044045677,0.5746638131485584,0.1724137931034483,0.6133855464578142,0,0.585713144992268,medium
CJM3315,1263,0.36262866191607285,0.16389548693586697,18,4.391696352122899,429,424,5,1365,948,0,0.36262866191607285,0.5337109446373104,0.01468189233278956,0.5626343768203519,0.1724137931034483,0.11249555001779993,0,0.3436114893552285,medium
SDH1556,840,0.7392857142857143,0.14523809523809525,1,6.072452496599511,160,158,2,288,169,0,0.7392857142857143,0.472954822954823,0.0008156606851549756,0.7779614646044283,0.06896551724137931,0.020054586448320873,0,0.40923612217510147,medium
ABP2917,1168,0.16866438356164384,0.1421232876712329,1,3.9140244953091035,484,482,2,2160,1492,0,0.16866438356164384,0.4628117316473481,0.0008156606851549756,0.5014382954125065,0.06896551724137931,0.1770499584668328,0,0.262076418296856,low
GCN1743,906,0.2097130242825607,0.11699779249448124,44,4.379789333783101,0,0,0,86,0,0,0.2097130242825607,0.3809928114563876,0.03588907014681892,0.5611089303171658,0.0,0.0,0,0.18319735559748113,low
LAN1329,473,0.17970401691331925,0.27906976744186046,1,3.5110958548348195,189,189,0,360,79,0,0.17970401691331925,0.9087656529516994,0.0008156606851549756,0.4498178083934677,0.0,0.009374629168149995,0,0.24888628051423523,low
NNM2862,1549,0.14525500322788895,0.2433828276307295,92,3.7235913614458998,202,198,4,451,283,0,0.14525500322788895,0.792554336130837,0.07504078303425775,0.4770412927496795,0.13793103448275862,0.03358253233653732,0,0.2767947317738447,low
CMD0613,994,0.23742454728370221,0.2655935613682093,17,4.011245112419084,0,0,0,102,0,0,0.23742454728370221,0.8648815972759635,0.013866231647634585,0.5138935420725638,0.0,0.0,0,0.2641751993317263,low
ENS1748,1385,0.16173285198555956,0.27075812274368233,1,3.868109517332638,190,188,2,3962,2590,0,0.16173285198555956,0.8816995279089143,0.0008156606851549756,0.495555979571608,0.06896551724137931,0.30734543728491753,0,0.3814600739523232,medium
GRP0277,1426,0.3064516129032258,0.1388499298737728,119,4.14201318462695,139,137,2,2011,278,0,0.3064516129032258,0.45215233574279856,0.09706362153344208,0.5306466613493793,0.06896551724137931,0.032989201376527826,0,0.26463777609679656,low
JAY3851,1349,0.34988880652335064,0.20756115641215717,35,4.252721596078364,0,0,0,124,0,0,0.34988880652335064,0.675904278572922,0.028548123980424143,0.5448298728220096,0.0,0.0,0,0.27501769490088723,low
KBP0384,1457,0.19148936170212766,0.1523678792038435,90,4.155868573300032,851,838,13,945,595,0,0.19148936170212766,0.496172324586875,0.0734094616639478,0.5324217198567635,0.4482758620689655,0.07060638424112971,0,0.3391620843691711,medium
MWG1570,1288,0.5333850931677019,0.21661490683229814,1,5.354982375419516,464,458,6,712,471,0,0.5333850931677019,0.7053870043000477,0.0008156606851549756,0.6860440545307109,0.20689655172413793,0.055891776432894266,0,0.4209086849232584,medium
PKR1145,900,0.22111111111111112,0.14222222222222222,24,3.936351066746625,0,0,0,130,0,0,0.22111111111111112,0.4631339031339031,0.01957585644371941,0.5042986244516973,0.0,0.0,0,0.19307497619315037,low
SHB3512,908,0.2698237885462555,0.14537444933920704,15,4.73247507625467,0,0,0,191,0,0,0.2698237885462555,0.47339884784818703,0.012234910277324634,0.606292637709184,0.0,0.0,0,0.21790010510420538,low
VEB3671,956,0.6861924686192469,0.16527196652719664,41,5.446739565486536,0,0,0,5,0,0,0.6861924686192469,0.5381933268962557,0.033442088091353996,0.6977993639402946,0.0,0.0,0,0.3761044230863253,medium
YCL0824,1643,0.30858186244674374,0.24650030432136336,124,4.075781348129527,519,510,9,1168,324,0,0.30858186244674374,0.8027061192003371,0.10114192495921696,0.5221614872695772,0.3103448275862069,0.03844784620861517,0,0.38443860635053456,medium
YKW3832,1238,0.5791599353796446,0.2552504038772213,20,5.842884346124184,4274,4253,21,583,360,0,0.5791599353796446,0.8312000331386438,0.01631321370309951,0.7485507488070917,0.7241379310344828,0.04271982912068352,0,0.5860929823633139,medium
HMM2628,1046,0.22179732313575526,0.29063097514340347,16,4.486728916079167,0,0,0,222,0,0,0.22179732313575526,0.9464136882874933,0.013050570962479609,0.5748093049374401,0.0,0.0,0,0.27728434125232343,low
LQW1314,1249,0.16573258606885508,0.15932746196957567,25,3.8467528171899064,191,189,2,542,355,0,0.16573258606885508,0.5188355812855413,0.020391517128874388,0.4928199038704871,0.06896551724137931,0.04212649816067402,0,0.21748004261415962,low
QAH1315,1401,0.27337615988579583,0.1748750892219843,16,4.761558042848102,3679,3660,19,3028,1107,0,0.27337615988579583,0.5694650341331283,0.013050570962479609,0.6100185503118329,0.6551724137931034,0.1313634745461018,0,0.4503313709376939,medium
ZDC2523,1564,0.2710997442455243,0.2615089514066496,1,4.418117526046845,185,182,3,442,242,0,0.2710997442455243,0.8515804315037051,0.0008156606851549756,0.5660192785835112,0.10344827586206896,0.028717218464459477,0,0.31240402897511493,medium
AYD2775,1429,0.3477956613016095,0.2708187543736879,8,4.269100227062006,0,0,0,157,0,0,0.3477956613016095,0.8818969693707273,0.0065252854812398045,0.5469281920357679,0.0,0.0,0,0.30467942987911684,medium
SAM3855,1343,0.34102755026061055,0.16455696202531644,66,4.18677918170684,3455,3440,15,3988,583,0,0.34102755026061055,0.5358649789029535,0.053833605220228384,0.5363817775437426,0.5172413793103449,0.06918238993710692,0,0.40822820438139207,medium
UCW2995,1356,0.15781710914454278,0.24336283185840707,22,3.428538300235596,180,179,1,759,499,0,0.15781710914454278,0.7924892216927615,0.01794453507340946,0.4392410939397708,0.034482758620689655,0.05921442980894743,0,0.2534977653044465,low
BDB2163,1172,0.17150170648464164,0.12457337883959044,1,3.490706086949316,0,0,0,184,0,0,0.17150170648464164,0.4056620285289227,0.0008156606851549756,0.44720560950084015,0.0,0.0,0,0.15961357394664072,low
HCS2231,1294,0.1491499227202473,0.14219474497681608,57,3.3556497955032354,467,461,6,904,592,0,0.1491499227202473,0.46304442595014467,0.0464926590538336,0.4299031126338375,0.20689655172413793,0.07025038566512401,0,0.24747964584783663,low
KCR2291,1024,0.228515625,0.24609375,36,3.503295386908937,0,0,0,40,0,0,0.228515625,0.8013822115384616,0.02936378466557912,0.4488184653017568,0.0,0.0,0,0.24804180466242665,low
NRT1320,1161,0.15848406546080965,0.1438415159345392,1,3.878633197341716,166,166,0,1070,394,0,0.15848406546080965,0.46840698778683276,0.0008156606851549756,0.4969042021418916,0.0,0.04675447964874807,0,0.1888836826779238,low
TPS1568,1417,0.4827099505998589,0.17854622441778406,89,5.017358995307461,0,0,0,170,0,0,0.4827099505998589,0.5814197564373994,0.07259380097879282,0.6427900349358675,0.0,0.0,0,0.31835134388491676,medium
BAW0780,1192,0.1644295302013423,0.1493288590604027,1,3.459632485842294,0,0,0,39,0,0,0.1644295302013423,0.48627602822233695,0.0008156606851549756,0.44322467029361046,0.0,0.0,0,0.17019000203910356,low
CHC0252,1658,0.206875753920386,0.25814234016887816,68,3.9065382138134552,0,0,0,107,0,0,0.206875753920386,0.8406173641396801,0.05546492659053834,0.5004792037571899,0.0,0.0,0,0.25589662853379436,low
TDJ3138,1184,0.17314189189189189,0.15033783783783783,1,3.87399256452951,162,159,3,633,78,0,0.17314189189189189,0.489561677061677,0.0008156606851549756,0.4963096757126941,0.10344827586206896,0.009255962976148096,0,0.20718914143610742,low
CHM1561,943,0.7327677624602333,0.23753976670201485,1,6.007529278752539,4088,4066,22,11570,7867,0,0.7327677624602333,0.7735269325937406,0.0008156606851549756,0.7696439418784216,0.7586206896551724,0.9335469324789367,0,1.0,high
KPB1123,1570,0.4624203821656051,0.20573248407643313,126,4.943432205693687,0,0,0,100,0,0,0.4624203821656051,0.6699493712232566,0.10277324632952692,0.6333190356067427,0.0,0.0,0,0.3303901271549282,medium
FDV1224,858,0.5,0.14918414918414918,1,5.002916302376854,157,156,1,2929,2011,0,0.5,0.48580479349710115,0.0008156606851549756,0.6409397349868076,0.034482758620689655,0.2386377121158182,0,0.40275721516102153,medium
GAH0525,1379,0.0,0.16316171138506164,79,3.310591335004519,490,479,11,1862,1234,0,0.0,0.5313214704077648,0.06443719412724307,0.42413052800809825,0.3793103448275862,0.14643408093034294,0,0.2858812580734315,low
VCF3273,1423,0.3436401967673928,0.2628250175685172,33,4.661451547414594,0,0,0,18,0,0,0.3436401967673928,0.8558660828513253,0.026916802610114192,0.5971935844767804,0.0,0.0,0,0.30651366273333935,medium
BKF1545,1512,0.0,0.26785714285714285,72,3.7101981834074897,0,0,0,136,0,0,0.0,0.8722527472527472,0.05872756933115824,0.4753254495366936,0.0,0.0,0,0.1916908615680131,low
